	tip3p	tip3pfb	spce	tip4pew	tip4pfb	opc
anti-all	49.40	63.50	65.30	51.40	56.90	50.60
syn	50.60	36.40	34.70	48.60	43.10	49.30
anti	9.80	13.10	13.70	8.20	11.70	11.90
high-anti	39.60	50.40	51.60	43.20	45.20	38.70
non-syn-anti	0.00	0.10	0.00	0.00	0.00	0.10
j12	6.78	6.66	6.57	6.83	6.74	6.72
j12_std	4.09	4.03	4.08	3.99	4.03	4.10
j12_err	0.13	0.13	0.13	0.13	0.13	0.13
j23	5.54	5.50	5.56	5.52	5.50	5.46
j23_std	1.38	1.40	1.37	1.36	1.41	1.39
j23_err	0.04	0.04	0.04	0.04	0.04	0.04
j34	4.48	4.74	4.92	4.52	4.68	4.67
j34_std	4.05	4.19	4.17	4.11	4.14	4.18
j34_err	0.13	0.13	0.13	0.13	0.13	0.13
c3	37.80	40.10	41.40	38.00	40.10	39.10
c2	55.80	53.90	52.50	56.70	54.00	54.50
non-c2-c3	6.40	6.00	6.10	5.30	5.90	6.40
