	tip3p	tip3pfb	spce	tip4pew	tip4pfb	opc
anti-all	100.00	99.60	100.00	100.00	100.00	100.00
syn	0.00	0.40	0.00	0.00	0.00	0.00
anti	50.80	52.50	49.60	49.50	51.40	49.00
high-anti	49.20	47.10	50.40	50.50	48.60	51.00
non-syn-anti	0.00	0.00	0.00	0.00	0.00	0.00
j12	6.23	6.31	6.03	5.91	5.99	6.21
j12_std	3.92	3.98	3.93	3.94	3.91	3.88
j12_err	0.12	0.13	0.12	0.12	0.12	0.12
j23	5.77	5.73	5.79	5.82	5.87	5.80
j23_std	1.35	1.38	1.35	1.34	1.33	1.36
j23_err	0.04	0.04	0.04	0.04	0.04	0.04
j34	6.02	5.90	6.19	6.25	6.11	6.09
j34_std	4.11	4.16	4.11	4.07	4.09	4.12
j34_err	0.13	0.13	0.13	0.13	0.13	0.13
c3	53.70	50.80	57.40	57.30	55.90	55.30
c2	38.70	40.10	35.50	35.10	37.40	37.40
non-c2-c3	7.60	9.10	7.10	7.60	6.70	7.30
